id,slug,full_name,first_name,middle_name,last_name,match_confidence
p0,acnam-carmelo-p0,"ACNAM, CARMELO MANUBE",CARMELO,MANUBE,ACNAM,unverified_with_middle_name
p1,acnam-dominador-p1,"ACNAM, DOMINADOR SIGABO",DOMINADOR,SIGABO,ACNAM,unverified_with_middle_name
p2,afos-christopher-p2,"AFOS, CHRISTOPHER E.",CHRISTOPHER,E.,AFOS,unverified_with_middle_name
p3,agabas-camilo-p3,"AGABAS, CAMILO B.",CAMILO,B.,AGABAS,unverified_with_middle_name
p4,alagao-reynaldo-p4,"ALAGAO, REYNALDO BALMACEDA",REYNALDO,BALMACEDA,ALAGAO,unverified_with_middle_name
p5,aldaca-imelda-p5,"ALDACA, IMELDA A.",IMELDA,A.,ALDACA,unverified_with_middle_name
p6,alejandro-dayawen-p6,"ALEJANDRO, DAYAWEN SANTOS",DAYAWEN,SANTOS,ALEJANDRO,unverified_with_middle_name
p7,alita-genaro-p7,"ALITA, GENARO BACUD",GENARO,BACUD,ALITA,unverified_with_middle_name
p8,allen-ferdinand-p8,"ALLEN, FERDINAND B.",FERDINAND,B.,ALLEN,unverified_with_middle_name
p9,alunday-david-p9,"ALUNDAY, DAVID A.",DAVID,A.,ALUNDAY,unverified_with_middle_name
p10,amante-gonsales-p10,"AMANTE, GONSALES T.",GONSALES,T.,AMANTE,unverified_with_middle_name
p11,andallo-roberto-jr-p11,"ANDALLO, ROBERTO JR. T.",ROBERTO JR.,T.,ANDALLO,unverified_with_middle_name
p12,andoy-jhony-p12,"ANDOY, JHONY BOBILA",JHONY,BOBILA,ANDOY,unverified_with_middle_name
p13,arce-eduardo-p13,"ARCE, EDUARDO F.",EDUARDO,F.,ARCE,unverified_with_middle_name
p14,ariota-sixto-jr-p14,"ARIOTA, SIXTO JR. AYUNON",SIXTO JR.,AYUNON,ARIOTA,unverified_with_middle_name
p15,atmosfera-anesia-p15,"ATMOSFERA, ANESIA A.",ANESIA,A.,ATMOSFERA,unverified_with_middle_name
p16,bachiller-allen-brix-p16,"BACHILLER, ALLEN BRIX L.",ALLEN BRIX,L.,BACHILLER,unverified_with_middle_name
p17,bade-vicente-fernando-ii-p17,"BADE, VICENTE FERNANDO II B.",VICENTE FERNANDO II,B.,BADE,unverified_with_middle_name
p18,bagayan-bumugas-p18,"BAGAYAN, BUMUGAS M.",BUMUGAS,M.,BAGAYAN,unverified_with_middle_name
p19,bagayan-oliver-p19,"BAGAYAN, OLIVER B.",OLIVER,B.,BAGAYAN,unverified_with_middle_name
p20,bagno-tauro-p20,"BAGNO, TAURO D.",TAURO,D.,BAGNO,unverified_with_middle_name
p21,balagso-lyndsy-p21,"BALAGSO, LYNDSY W.",LYNDSY,W.,BALAGSO,unverified_with_middle_name
p22,balangcad-agapito-p22,"BALANGCAD, AGAPITO B.",AGAPITO,B.,BALANGCAD,unverified_with_middle_name
p23,balao-as-balnawie-p23,"BALAO-AS, BALNAWIE S.",BALNAWIE,S.,BALAO-AS,unverified_with_middle_name
p24,balbuena-geraldine-p24,"BALBUENA, GERALDINE MAMSAANG",GERALDINE,MAMSAANG,BALBUENA,unverified_with_middle_name
p25,baldemor-juanito-p25,"BALDEMOR, JUANITO L.",JUANITO,L.,BALDEMOR,unverified_with_middle_name
p26,balderas-evelyn-p26,"BALDERAS, EVELYN B.",EVELYN,B.,BALDERAS,unverified_with_middle_name
p27,ballaba-marcos-p27,"BALLABA, MARCOS P.",MARCOS,P.,BALLABA,unverified_with_middle_name
p28,balleras-diosdado-p28,"BALLERAS, DIOSDADO BEROÑA",DIOSDADO,BEROÑA,BALLERAS,unverified_with_middle_name
p29,balmaceda-eduardo-p29,"BALMACEDA, EDUARDO RIVAS",EDUARDO,RIVAS,BALMACEDA,unverified_with_middle_name
p30,balneg-wilfredo-p30,"BALNEG, WILFREDO S.",WILFREDO,S.,BALNEG,unverified_with_middle_name
p31,balutoc-rosita-p31,"BALUTOC, ROSITA B.",ROSITA,B.,BALUTOC,unverified_with_middle_name
p32,bangibang-pepito-p32,"BANGIBANG, PEPITO L.",PEPITO,L.,BANGIBANG,unverified_with_middle_name
p33,bangibang-rafael-p33,"BANGIBANG, RAFAEL L.",RAFAEL,L.,BANGIBANG,unverified_with_middle_name
p34,barbosa-virgilio-p34,"BARBOSA, VIRGILIO N.",VIRGILIO,N.,BARBOSA,unverified_with_middle_name
p35,basingan-malbin-p35,"BASINGAN, MALBIN TIMMANGEN",MALBIN,TIMMANGEN,BASINGAN,unverified_with_middle_name
p36,batalao-ricardo-p36,"BATALAO, RICARDO D.",RICARDO,D.,BATALAO,unverified_with_middle_name
p37,batingan-teodoro-p37,"BATINGAN, TEODORO D.",TEODORO,D.,BATINGAN,unverified_with_middle_name
p38,bayongan-wilmer-p38,"BAYONGAN, WILMER D.",WILMER,D.,BAYONGAN,unverified_with_middle_name
p39,bejarin-anacleto-p39,"BEJARIN, ANACLETO B.",ANACLETO,B.,BEJARIN,unverified_with_middle_name
p40,belandres-elizer-p40,"BELANDRES, ELIZER BAULA",ELIZER,BAULA,BELANDRES,unverified_with_middle_name
p41,belino-justino-jr-p41,"BELINO, JUSTINO JR. B.",JUSTINO JR.,B.,BELINO,unverified_with_middle_name
p42,bello-avelino-p42,"BELLO, AVELINO BERMUDEZ",AVELINO,BERMUDEZ,BELLO,unverified_with_middle_name
p43,bentalan-loreto-p43,"BENTALAN, LORETO A.",LORETO,A.,BENTALAN,unverified_with_middle_name
p44,benwagen-nicolas-p44,"BENWAGEN, NICOLAS G.",NICOLAS,G.,BENWAGEN,unverified_with_middle_name
p45,bernardez-ernesto-p45,"BERNARDEZ, ERNESTO Q.",ERNESTO,Q.,BERNARDEZ,unverified_with_middle_name
p46,bernese-analita-p46,"BERNESE, ANALITA L.",ANALITA,L.,BERNESE,unverified_with_middle_name
p47,bernos-joseph-sto-ni-o-p47,"BERNOS, JOSEPH STO. NIÑO B.",JOSEPH STO. NIÑO,B.,BERNOS,unverified_with_middle_name
p48,berona-christopher-p48,"BERONA, CHRISTOPHER SOTELO",CHRISTOPHER,SOTELO,BERONA,unverified_with_middle_name
p49,bersamina-amante-p49,"BERSAMINA, AMANTE A.",AMANTE,A.,BERSAMINA,unverified_with_middle_name
p50,bigornia-emmanuel-p50,"BIGORNIA, EMMANUEL B.",EMMANUEL,B.,BIGORNIA,unverified_with_middle_name
